,year,n_pubs
0,1965/01/01,0
1,1965/02/01,0
2,1965/03/01,0
3,1965/04/01,0
4,1965/05/01,0
5,1965/06/01,0
6,1965/07/01,0
7,1965/08/01,0
8,1965/09/01,0
9,1965/10/01,0
10,1965/11/01,9146
11,1965/12/01,11117
12,1966/01/01,12240
13,1966/02/01,11161
14,1966/03/01,14937
15,1966/04/01,9190
16,1966/05/01,13873
17,1966/06/01,10910
18,1966/07/01,14706
19,1966/08/01,8819
20,1966/09/01,8959
21,1966/10/01,17695
22,1966/11/01,6743
23,1966/12/01,12249
24,1967/01/01,11300
25,1967/02/01,10474
26,1967/03/01,14858
27,1967/04/01,11170
28,1967/05/01,10574
29,1967/06/01,8728
30,1967/07/01,7682
31,1967/08/01,9988
32,1967/09/01,14451
33,1967/10/01,22466
34,1967/11/01,19564
35,1967/12/01,17496
36,1968/01/01,19232
37,1968/02/01,18784
38,1968/03/01,7626
39,1968/04/01,19814
40,1968/05/01,15679
41,1968/06/01,12124
42,1968/07/01,20770
43,1968/08/01,23571
44,1968/09/01,18537
45,1968/10/01,28394
46,1968/11/01,17949
47,1968/12/01,15243
48,1969/01/01,18919
49,1969/02/01,22491
50,1969/03/01,19025
51,1969/04/01,21138
52,1969/05/01,21938
53,1969/06/01,20203
54,1969/07/01,15250
55,1969/08/01,25498
56,1969/09/01,22840
57,1969/10/01,24777
58,1969/11/01,11397
59,1969/12/01,17559
60,1970/01/01,21699
61,1970/02/01,16760
62,1970/03/01,21214
63,1970/04/01,19359
64,1970/05/01,15650
65,1970/06/01,17563
66,1970/07/01,16283
67,1970/08/01,21372
68,1970/09/01,21471
69,1970/10/01,21605
70,1970/11/01,14986
71,1970/12/01,18207
72,1971/01/01,17705
73,1971/02/01,19790
74,1971/03/01,23510
75,1971/04/01,19226
76,1971/05/01,15136
77,1971/06/01,21479
78,1971/07/01,19721
79,1971/08/01,17603
80,1971/09/01,12685
81,1971/10/01,13897
82,1971/11/01,16307
83,1971/12/01,18435
